Query,Author,Title,Poem,Link,,,,
robert frost,Robert Frost,Christmas Trees,"['The city had withdrawn into itself', 'And left at last the country to the country;', 'When between whirls of snow not come to lie', 'And whirls of foliage not yet laid, there drove', 'A stranger to our yard, who looked the city,', 'Yet did in country fashion in that there', 'He sat and waited till he drew us out', 'A-buttoning coats to ask him who he was.', 'He proved to be the city come again', 'To look for something it had left behind', 'And could not do without and keep its Christmas.', 'He asked if I would sell my Christmas trees;', 'My woods—the young fir balsams like a place', 'Where houses all are churches and have spires.', 'I hadn’t thought of them as Christmas Trees.', 'I doubt if I was tempted for a moment', 'To sell them off their feet to go in cars', 'And leave the slope behind the house all bare,', 'Where the sun shines now no warmer than the moon.', 'I’d hate to have them know it if I was.', 'Yet more I’d hate to hold my trees except', 'As others hold theirs or refuse for them,', 'Beyond the time of profitable growth,', 'The trial by market everything must come to.', 'I dallied so much with the thought of selling.', 'Then whether from mistaken courtesy', 'And fear of seeming short of speech, or whether', 'From hope of hearing good of what was mine, I said,', '“There aren’t enough to be worth while.”', '“I could soon tell how many they would cut,', 'You let me look them over.”', '“You could look.', 'But don’t expect I’m going to let you have them.”', 'Pasture they spring in, some in clumps too close', 'That lop each other of boughs, but not a few', 'Quite solitary and having equal boughs', 'All round and round. The latter he nodded “Yes” to,', 'Or paused to say beneath some lovelier one,', 'With a buyer’s moderation, “That would do.”', 'I thought so too, but wasn’t there to say so.', 'We climbed the pasture on the south, crossed over,', 'And came down on the north. He said, “A thousand.”', '“A thousand Christmas trees!—at what apiece?”', 'He felt some need of softening that to me:', '“A thousand trees would come to thirty dollars.”', 'Then I was certain I had never meant', 'To let him have them. Never show surprise!', 'But thirty dollars seemed so small beside', 'The extent of pasture I should strip, three cents', '(For that was all they figured out apiece),', 'Three cents so small beside the dollar friends', 'I should be writing to within the hour', 'Would pay in cities for good trees like those,', 'Regular vestry-trees whole Sunday Schools', 'Could hang enough on to pick off enough.', 'A thousand Christmas trees I didn’t know I had!', 'Worth three cents more to give away than sell,', 'As may be shown by a simple calculation.', 'Too bad I couldn’t lay one in a letter.', 'I can’t help wishing I could send you one,', 'In wishing you herewith a Merry Christmas.']",/poems/57834/christmas-trees-56d23bb00debf,,,,
robert frost,Robert Frost,The Sound of Trees,"['I wonder about the trees.', 'Why do we wish to bear', 'Forever the noise of these', 'More than another noise', 'So close to our dwelling place?', 'We suffer them by the day', 'Till we lose all measure of pace,', 'And fixity in our joys,', 'And acquire a listening air.', 'They are that that talks of going', 'But never gets away;', 'And that talks no less for knowing,', 'As it grows wiser and older,', 'That now it means to stay.', 'My feet tug at the floor', 'And my head sways to my shoulder', 'Sometimes when I watch trees sway,', 'From the window or the door.', 'I shall set forth for somewhere,', 'I shall make the reckless choice', 'Some day when they are in voice', 'And tossing so as to scare', 'The white clouds over them on.', 'I shall have less to say,', 'But I shall be gone.']",/poems/53088/the-sound-of-trees,,,,
robert frost,Robert Frost,"‘Out, Out—’","['The buzz saw snarled and rattled in the yard', 'And made dust and dropped stove-length sticks of wood,', 'Sweet-scented stuff when the breeze drew across it.', 'And from there those that lifted eyes could count', 'Five mountain ranges one behind the other', 'Under the sunset far into Vermont.', 'And the saw snarled and rattled, snarled and rattled,', 'As it ran light, or had to bear a load.', 'And nothing happened: day was all but done.', 'Call it a day, I wish they might have said', 'To please the boy by giving him the half hour', 'That a boy counts so much when saved from work.', 'His sister stood beside him in her apron', 'To tell them ‘Supper.’ At the word, the saw,', 'As if to prove saws knew what supper meant,', 'Leaped out at the boy’s hand, or seemed to leap—', 'He must have given the hand. However it was,', 'Neither refused the meeting. But the hand!', 'The boy’s first outcry was a rueful laugh,', 'As he swung toward them holding up the hand', 'Half in appeal, but half as if to keep', 'The life from spilling. Then the boy saw all—', 'Since he was old enough to know, big boy', 'Doing a man’s work, though a child at heart—', 'He saw all spoiled. ‘Don’t let him cut my hand off—', 'The doctor, when he comes. Don’t let him, sister!’', 'So. But the hand was gone already.', 'The doctor put him in the dark of ether.', 'He lay and puffed his lips out with his breath.', 'And then—the watcher at his pulse took fright.', 'No one believed. They listened at his heart.', 'Little—less—nothing!—and that ended it.', 'No more to build on there. And they, since they', 'Were not the one dead, turned to their affairs.']",/poems/53087/out-out,,,,
robert frost,Robert Frost,Home Burial,"['He saw her from the bottom of the stairs', 'Before she saw him. She was starting down,', 'Looking back over her shoulder at some fear.', 'She took a doubtful step and then undid it', 'To raise herself and look again. He spoke', 'Advancing toward her: ‘What is it you see', 'From up there always—for I want to know.’', 'She turned and sank upon her skirts at that,', 'And her face changed from terrified to dull.', 'He said to gain time: ‘What is it you see,’', 'Mounting until she cowered under him.', '‘I will find out now—you must tell me, dear.’', 'She, in her place, refused him any help', 'With the least stiffening of her neck and silence.', 'She let him look, sure that he wouldn’t see,', 'Blind creature; and awhile he didn’t see.', 'But at last he murmured, ‘Oh,’ and again, ‘Oh.’', '‘What is it—what?’ she said.', '‘Just that I see.’', '‘You don’t,’ she challenged. ‘Tell me what it is.’', '‘The wonder is I didn’t see at once.', 'I never noticed it from here before.', 'I must be wonted to it—that’s the reason.', 'The little graveyard where my people are!', 'So small the window frames the whole of it.', 'Not so much larger than a bedroom, is it?', 'There are three stones of slate and one of marble,', 'Broad-shouldered little slabs there in the sunlight', 'On the sidehill. We haven’t to mind those.', 'But I understand: it is not the stones,', 'But the child’s mound—’', '‘Don’t, don’t, don’t, don’t,’ she cried.', 'She withdrew shrinking from beneath his arm', 'That rested on the banister, and slid downstairs;', 'And turned on him with such a daunting look,', 'He said twice over before he knew himself:', '‘Can’t a man speak of his own child he’s lost?’', '‘Not you! Oh, where’s my hat? Oh, I don’t need it!', 'I must get out of here. I must get air.', 'I don’t know rightly whether any man can.’', '‘Amy! Don’t go to someone else this time.', 'Listen to me. I won’t come down the stairs.’', 'He sat and fixed his chin between his fists.', '‘There’s something I should like to ask you, dear.’', '‘You don’t know how to ask it.’', '‘Help me, then.’', 'Her fingers moved the latch for all reply.', '‘My words are nearly always an offense.', 'I don’t know how to speak of anything', 'So as to please you. But I might be taught', 'I should suppose. I can’t say I see how.', 'A man must partly give up being a man', 'With women-folk. We could have some arrangement', 'By which I’d bind myself to keep hands off', 'Anything special you’re a-mind to name.', 'Though I don’t like such things ’twixt those that love.', 'Two that don’t love can’t live together without them.', 'But two that do can’t live together with them.’', 'She moved the latch a little. ‘Don’t—don’t go.', 'Don’t carry it to someone else this time.', 'Tell me about it if it’s something human.', 'Let me into your grief. I’m not so much', 'Unlike other folks as your standing there', 'Apart would make me out. Give me my chance.', 'I do think, though, you overdo it a little.', 'What was it brought you up to think it the thing', 'To take your mother-loss of a first child', 'So inconsolably—in the face of love.', 'You’d think his memory might be satisfied—’', '‘There you go sneering now!’', '‘I’m not, I’m not!', 'You make me angry. I’ll come down to you.', 'God, what a woman! And it’s come to this,', 'A man can’t speak of his own child that’s dead.’', ""‘You can’t because you don't know how to speak."", 'If you had any feelings, you that dug', 'With your own hand—how could you?—his little grave;', 'I saw you from that very window there,', 'Making the gravel leap and leap in air,', 'Leap up, like that, like that, and land so lightly', 'And roll back down the mound beside the hole.', 'I thought, Who is that man? I didn’t know you.', 'And I crept down the stairs and up the stairs', 'To look again, and still your spade kept lifting.', 'Then you came in. I heard your rumbling voice', 'Out in the kitchen, and I don’t know why,', 'But I went near to see with my own eyes.', 'You could sit there with the stains on your shoes', 'Of the fresh earth from your own baby’s grave', 'And talk about your everyday concerns.', 'You had stood the spade up against the wall', 'Outside there in the entry, for I saw it.’', '‘I shall laugh the worst laugh I ever laughed.', 'I’m cursed. God, if I don’t believe I’m cursed.’', '‘I can repeat the very words you were saying:', '“Three foggy mornings and one rainy day', 'Will rot the best birch fence a man can build.”', 'Think of it, talk like that at such a time!', 'What had how long it takes a birch to rot', 'To do with what was in the darkened parlor?', 'You couldn’t care! The nearest friends can go', 'With anyone to death, comes so far short', 'They might as well not try to go at all.', 'No, from the time when one is sick to death,', 'One is alone, and he dies more alone.', 'Friends make pretense of following to the grave,', 'But before one is in it, their minds are turned', 'And making the best of their way back to life', 'And living people, and things they understand.', 'But the world’s evil. I won’t have grief so', 'If I can change it. Oh, I won’t, I won’t!’', '‘There, you have said it all and you feel better.', 'You won’t go now. You’re crying. Close the door.', 'The heart’s gone out of it: why keep it up.', 'Amy! There’s someone coming down the road!’', '‘You—oh, you think the talk is all. I must go—', 'Somewhere out of this house. How can I make you—’', '‘If—you—do!’ She was opening the door wider.', '‘Where do you mean to go? First tell me that.', 'I’ll follow and bring you back by force. I will!—’']",/poems/53086/home-burial,,,,
robert frost,Robert Frost,Reluctance,"['Out through the fields and the woods', 'And over the walls I have wended;', 'I have climbed the hills of view', 'And looked at the world, and descended;', 'I have come by the highway home,', 'And lo, it is ended.', 'The leaves are all dead on the ground,', 'Save those that the oak is keeping', 'To ravel them one by one', 'And let them go scraping and creeping', 'Out over the crusted snow,', 'When others are sleeping.', 'And the dead leaves lie huddled and still,', 'No longer blown hither and thither;', 'The last lone aster is gone;', 'The flowers of the witch hazel wither;', 'The heart is still aching to seek,', 'But the feet question ‘Whither?’', 'Ah, when to the heart of man', 'Was it ever less than a treason', 'To go with the drift of things,', 'To yield with a grace to reason,', 'And bow and accept the end', 'Of a love or a season?']",/poems/53085/reluctance,,,,
robert frost,Robert Frost,October,"['O hushed October morning mild,', 'Thy leaves have ripened to the fall;', 'Tomorrow’s wind, if it be wild,', 'Should waste them all.', 'The crows above the forest call;', 'Tomorrow they may form and go.', 'O hushed October morning mild,', 'Begin the hours of this day slow.', 'Make the day seem to us less brief.', 'Hearts not averse to being beguiled,', 'Beguile us in the way you know.', 'Release one leaf at break of day;', 'At noon release another leaf;', 'One from our trees, one far away.', 'Retard the sun with gentle mist;', 'Enchant the land with amethyst.', 'Slow, slow!', 'For the grapes’ sake, if they were all,', 'Whose leaves already are burnt with frost,', 'Whose clustered fruit must else be lost—', 'For the grapes’ sake along the wall.']",/poems/53084/october-56d23212a5b72,,,,
robert frost,Robert Frost,The Gift Outright,"['The land was ours before we were the land’s.', 'She was our land more than a hundred years', 'Before we were her people. She was ours', 'In Massachusetts, in Virginia,', 'But we were England’s, still colonials,', 'Possessing what we still were unpossessed by,', 'Possessed by what we now no more possessed.', 'Something we were withholding made us weak', 'Until we found out that it was ourselves', 'We were withholding from our land of living,', 'And forthwith found salvation in surrender.', 'Such as we were we gave ourselves outright', '(The deed of gift was many deeds of war)', 'To the land vaguely realizing westward,', 'But still unstoried, artless, unenhanced,', 'Such as she was, such as she would become.']",/poems/53013/the-gift-outright,,,,
robert frost,Robert Frost,Mowing,"['There was never a sound beside the wood but one,', 'And that was my long scythe whispering to the ground.', 'What was it it whispered? I knew not well myself;', 'Perhaps it was something about the heat of the sun,', 'Something, perhaps, about the lack of sound—', 'And that was why it whispered and did not speak.', 'It was no dream of the gift of idle hours,', 'Or easy gold at the hand of fay or elf:', 'Anything more than the truth would have seemed too weak', 'To the earnest love that laid the swale in rows,', 'Not without feeble-pointed spikes of flowers', '(Pale orchises), and scared a bright green snake.', 'The fact is the sweetest dream that labor knows.', 'My long scythe whispered and left the hay to make.']",/poems/53001/mowing-56d231eca88cd,,,,
robert frost,Robert Frost,Love and a Question,"['A Stranger came to the door at eve,', 'And he spoke the bridegroom fair.', 'He bore a green-white stick in his hand,', 'And, for all burden, care.', 'He asked with the eyes more than the lips', 'For a shelter for the night,', 'And he turned and looked at the road afar', 'Without a window light.', 'The bridegroom came forth into the porch', 'With, ‘Let us look at the sky,', 'And question what of the night to be,', 'Stranger, you and I.’', 'The woodbine leaves littered the yard,', 'The woodbine berries were blue,', 'Autumn, yes, winter was in the wind;', '‘Stranger, I wish I knew.’', 'Within, the bride in the dusk alone', 'Bent over the open fire,', 'Her face rose-red with the glowing coal', 'And the thought of the heart’s desire.', 'The bridegroom looked at the weary road,', 'Yet saw but her within,', 'And wished her heart in a case of gold', 'And pinned with a silver pin.', 'The bridegroom thought it little to give', 'A dole of bread, a purse,', 'A heartfelt prayer for the poor of God,', 'Or for the rich a curse;', 'But whether or not a man was asked', 'To mar the love of two', 'By harboring woe in the bridal house,', 'The bridegroom wished he knew.']",/poems/53000/love-and-a-question,,,,
robert frost,Robert Frost,Acquainted with the Night,"['I have been one acquainted with the night.', 'I have walked out in rain—and back in rain.', 'I have outwalked the furthest city light.', 'I have looked down the saddest city lane.', 'I have passed by the watchman on his beat', 'And dropped my eyes, unwilling to explain.', 'I have stood still and stopped the sound of feet', 'When far away an interrupted cry', 'Came over houses from another street,', 'But not to call me back or say good-bye;', 'And further still at an unearthly height,', 'One luminary clock against the sky', 'Proclaimed the time was neither wrong nor right.', 'I have been one acquainted with the night.']",/poems/47548/acquainted-with-the-night,,,,
robert frost,Robert Frost,The Wood-Pile,"['Out walking in the frozen swamp one gray day,', ""I paused and said, 'I will turn back from here."", ""No, I will go on farther—and we shall see.'"", 'The hard snow held me, save where now and then', 'One foot went through. The view was all in lines', 'Straight up and down of tall slim trees', 'Too much alike to mark or name a place by', 'So as to say for certain I was here', 'Or somewhere else: I was just far from home.', 'A small bird flew before me. He was careful', 'To put a tree between us when he lighted,', 'And say no word to tell me who he was', 'Who was so foolish as to think what he thought.', 'He thought that I was after him for a feather—', 'The white one in his tail; like one who takes', 'Everything said as personal to himself.', 'One flight out sideways would have undeceived him.', 'And then there was a pile of wood for which', 'I forgot him and let his little fear', 'Carry him off the way I might have gone,', 'Without so much as wishing him good-night.', 'He went behind it to make his last stand.', 'It was a cord of maple, cut and split', 'And piled—and measured, four by four by eight.', 'And not another like it could I see.', ""No runner tracks in this year's snow looped near it."", ""And it was older sure than this year's cutting,"", ""Or even last year's or the year's before."", 'The wood was gray and the bark warping off it', 'And the pile somewhat sunken. Clematis', 'Had wound strings round and round it like a bundle.', 'What held it though on one side was a tree', 'Still growing, and on one a stake and prop,', 'These latter about to fall. I thought that only', 'Someone who lived in turning to fresh tasks', 'Could so forget his handiwork on which', 'He spent himself, the labor of his ax,', 'And leave it there far from a useful fireplace', 'To warm the frozen swamp as best it could', 'With the slow smokeless burning of decay.']",/poems/44276/the-wood-pile,,,,
robert frost,Robert Frost,The Tuft of Flowers,"['I went to turn the grass once after one', 'Who mowed it in the dew before the sun.', 'The dew was gone that made his blade so keen', 'Before I came to view the levelled scene.', 'I looked for him behind an isle of trees;', 'I listened for his whetstone on the breeze.', 'But he had gone his way, the grass all mown,', 'And I must be, as he had been,—alone,', '‘As all must be,’ I said within my heart,', '‘Whether they work together or apart.’', 'But as I said it, swift there passed me by', 'On noiseless wing a ‘wildered butterfly,', 'Seeking with memories grown dim o’er night', 'Some resting flower of yesterday’s delight.', 'And once I marked his flight go round and round,', 'As where some flower lay withering on the ground.', 'And then he flew as far as eye could see,', 'And then on tremulous wing came back to me.', 'I thought of questions that have no reply,', 'And would have turned to toss the grass to dry;', 'But he turned first, and led my eye to look', 'At a tall tuft of flowers beside a brook,', 'A leaping tongue of bloom the scythe had spared', 'Beside a reedy brook the scythe had bared.', 'I left my place to know them by their name,', 'Finding them butterfly weed when I came.', 'The mower in the dew had loved them thus,', 'By leaving them to flourish, not for us,', 'Nor yet to draw one thought of ours to him.', 'But from sheer morning gladness at the brim.', 'The butterfly and I had lit upon,', 'Nevertheless, a message from the dawn,', 'That made me hear the wakening birds around,', 'And hear his long scythe whispering to the ground,', 'And feel a spirit kindred to my own;', 'So that henceforth I worked no more alone;', 'But glad with him, I worked as with his aid,', 'And weary, sought at noon with him the shade;', 'And dreaming, as it were, held brotherly speech', 'With one whose thought I had not hoped to reach.', '‘Men work together,’ I told him from the heart,', '‘Whether they work together or apart.’']",/poems/44275/the-tuft-of-flowers,,,,
robert frost,Robert Frost,To E. T.,"['I slumbered with your poems on my breast', 'Spread open as I dropped them half-read through', 'Like dove wings on a figure on a tomb', 'To see, if in a dream they brought of you,', 'I might not have the chance I missed in life', 'Through some delay, and call you to your face', 'First soldier, and then poet, and then both,', 'Who died a soldier-poet of your race.', 'I meant, you meant, that nothing should remain', 'Unsaid between us, brother, and this remained—', 'And one thing more that was not then to say:', 'The Victory for what it lost and gained.', ""You went to meet the shell's embrace of fire"", 'On Vimy Ridge; and when you fell that day', 'The war seemed over more for you than me,', 'But now for me than you—the other way.', 'How over, though, for even me who knew', 'The foe thrust back unsafe beyond the Rhine,', 'If I was not to speak of it to you', 'And see you pleased once more with words of mine?']",/poems/44274/to-e-t,,,,
robert frost,Robert Frost,The Star-splitter,"['""You know Orion always comes up sideways.', 'Throwing a leg up over our fence of mountains,', 'And rising on his hands, he looks in on me', 'Busy outdoors by lantern-light with something', 'I should have done by daylight, and indeed,', 'After the ground is frozen, I should have done', 'Before it froze, and a gust flings a handful', 'Of waste leaves at my smoky lantern chimney', 'To make fun of my way of doing things,', ""Or else fun of Orion's having caught me."", 'Has a man, I should like to ask, no rights', 'These forces are obliged to pay respect to?""', 'So Brad McLaughlin mingled reckless talk', 'Of heavenly stars with hugger-mugger farming,', 'Till having failed at hugger-mugger farming,', 'He burned his house down for the fire insurance', 'And spent the proceeds on a telescope', 'To satisfy a lifelong curiosity', 'About our place among the infinities.', '""What do you want with one of those blame things?""', 'I asked him well beforehand. ""Don\'t you get one!""', '""Don\'t call it blamed; there isn\'t anything', 'More blameless in the sense of being less', 'A weapon in our human fight,"" he said.', '""I\'ll have one if I sell my farm to buy it.""', 'There where he moved the rocks to plow the ground', ""And plowed between the rocks he couldn't move,"", 'Few farms changed hands; so rather than spend years', 'Trying to sell his farm and then not selling,', 'He burned his house down for the fire insurance', 'And bought the telescope with what it came to.', 'He had been heard to say by several:', '""The best thing that we\'re put here for\'s to see;', ""The strongest thing that's given us to see with's"", 'A telescope. Someone in every town', 'Seems to me owes it to the town to keep one.', 'In Littleton it may as well be me.""', 'After such loose talk it was no surprise', 'When he did what he did and burned his house down.', 'Mean laughter went about the town that day', ""To let him know we weren't the least imposed on,"", ""And he could wait—we'd see to him tomorrow."", 'But the first thing next morning we reflected', 'If one by one we counted people out', ""For the least sin, it wouldn't take us long"", 'To get so we had no one left to live with.', 'For to be social is to be forgiving.', 'Our thief, the one who does our stealing from us,', ""We don't cut off from coming to church suppers,"", 'But what we miss we go to him and ask for.', 'He promptly gives it back, that is if still', 'Uneaten, unworn out, or undisposed of.', ""It wouldn't do to be too hard on Brad"", 'About his telescope. Beyond the age', 'Of being given one for Christmas gift,', 'He had to take the best way he knew how', 'To find himself in one. Well, all we said was', 'He took a strange thing to be roguish over.', 'Some sympathy was wasted on the house,', 'A good old-timer dating back along;', ""But a house isn't sentient; the house"", ""Didn't feel anything. And if it did,"", 'Why not regard it as a sacrifice,', 'And an old-fashioned sacrifice by fire,', 'Instead of a new-fashioned one at auction?', 'Out of a house and so out of a farm', 'At one stroke (of a match), Brad had to turn', 'To earn a living on the Concord railroad,', 'As under-ticket-agent at a station', ""Where his job, when he wasn't selling tickets,"", 'Was setting out up track and down, not plants', 'As on a farm, but planets, evening stars', 'That varied in their hue from red to green.', 'He got a good glass for six hundred dollars.', 'His new job gave him leisure for stargazing.', 'Often he bid me come and have a look', 'Up the brass barrel, velvet black inside,', 'At a star quaking in the other end.', 'I recollect a night of broken clouds', 'And underfoot snow melted down to ice,', 'And melting further in the wind to mud.', 'Bradford and I had out the telescope.', 'We spread our two legs as it spread its three,', 'Pointed our thoughts the way we pointed it,', 'And standing at our leisure till the day broke,', 'Said some of the best things we ever said.', 'That telescope was christened the Star-Splitter,', ""Because it didn't do a thing but split"", 'A star in two or three the way you split', 'A globule of quicksilver in your hand', 'With one stroke of your finger in the middle.', ""It's a star-splitter if there ever was one,"", 'And ought to do some good if splitting stars', ""'Sa thing to be compared with splitting wood."", ""We've looked and looked, but after all where are we?"", 'Do we know any better where we are,', 'And how it stands between the night tonight', 'And a man with a smoky lantern chimney?', 'How different from the way it ever stood?']",/poems/44273/the-star-splitteree cummings,E. E. Cummings,[as freedom is a breakfastfood],"['as freedom is a breakfastfood', 'or truth can live with right and wrong', 'or molehills are from mountains made', '—long enough and just so long', 'will being pay the rent of seem', 'and genius please the talentgang', 'and water most encourage flame', 'as hatracks into peachtrees grow', 'or hopes dance best on bald men’s hair', 'and every finger is a toe', 'and any courage is a fear', '—long enough and just so long', 'will the impure think all things pure', 'and hornets wail by children stung', 'or as the seeing are the blind', 'and robins never welcome spring', 'nor flatfolk prove their world is round', 'nor dingsters die at break of dong', 'and common’s rare and millstones float', '—long enough and just so long', 'tomorrow will not be too late', 'worms are the words but joy’s the voice', 'down shall go which and up come who', 'breasts will be breasts thighs will be thighs', 'deeds cannot dream what dreams can do', '—time is a tree(this life one leaf)', 'but love is the sky and i am for you', 'just so long and long enough']",/poems/52946/as-freedom-is-a-breakfastfood
ee cummings,E. E. Cummings,"[""kitty"". sixteen,5'1"",white,prostitute]","['""kitty"". sixteen,5\'1"",white,prostitute.', 'ducking always the touch of must and shall,', ""whose slippery body is Death's littlest pal,"", 'skilled in quick softness.Unspontaneous.cute.', 'the signal perfume of whose unrepute', 'focusses in the sweet slow animal', 'bottomless eyes importantly banal,', 'Kitty. a whore. Sixteen', 'you corking brute', 'amused from time to time by clever drolls', 'fearsomely who do keep their sunday flower.', 'The babybreasted broad ""kitty"" twice eight', ""—beer nothing,the lady'll have a whiskey-sour—"", 'whose least amazing smile is the most great', 'common divisor of unequal souls.']",/poems/49744/chimneys-xii-kitty-sixteen51whiteprostitute,,,,
ee cummings,E. E. Cummings,[i carry your heart with me(i carry it in],"['i carry your heart with me(i carry it in', 'my heart)i am never without it(anywhere', 'i go you go,my dear;and whatever is done', 'by only me is your doing,my darling)', 'i fear', 'no fate(for you are my fate,my sweet)i want', 'no world(for beautiful you are my world,my true)', 'and it’s you are whatever a moon has always meant', 'and whatever a sun will always sing is you', 'here is the deepest secret nobody knows', '(here is the root of the root and the bud of the bud', 'and the sky of the sky of a tree called life;which grows', 'higher than soul can hope or mind can hide)', ""and this is the wonder that's keeping the stars apart"", 'i carry your heart(i carry it in my heart)']",/poems/49493/i-carry-your-heart-with-mei-carry-it-in,,,,
